merchant_name,Location,City,Status,Category,Type
Absolute Basics,ONE GALLE FACE,Colombo,Active,Fashion,Physical Store
Absolute Basics,Colpetty,Colombo,Active,Fashion,Physical Store
Ahara by Amari,Colombo 3,Colombo,Active,Food,Physical Store
Akarsha Jewellers,Taj Samudra Hotel ,Colombo,Active,Gems & Jewellery,Physical Store
Akarsha Jewellers,MC,Colombo,Active,Gems & Jewellery,Physical Store
AMBERRY,Facebook/ Instagram,Facebook/ Instagram,Active,Accessories,Instagram/ Facebook store
Ancient Nutra,Havelock City,Colombo,Active,Personal Care,Physical Store
Ancient Nutra,Wattala,Wattala,Active,Personal Care,Physical Store
Apero,Colombo 03,Colombo,Active,Supermarkets,Physical Store
Arienti,Colombo 03,Colombo,Active,Fashion,Physical Store
Arienti,Negombo,Negombo,Active,Fashion,Physical Store
Aroma Bliss Ceylon,Bambalapitiya,Colombo,Active,Personal Care,Physical Store
Aroma Bliss Ceylon,Colombo 07,Colombo,Active,Personal Care,Physical Store
Aroma Bliss Ceylon,Negombo,Negombo,Active,Personal Care,Physical Store
Aroma Bliss Ceylon,Online,Online,Active,Personal Care,Physical Store
Aroma Bliss Ceylon,Colombo 03,Colombo,Active,Personal Care,Physical Store
Aroma Bliss Ceylon,Nugegoda,Nugegoda,Active,Personal Care,Physical Store
Aroma Perfume,Dehiwela,Dehiwala,Active,Personal Care,Physical Store
Aroma Perfume,Instagram ,Instagram ,Active,Personal Care,Instagram/ Facebook store
Arpico Daily,Anuradhapuraya,Anuradhapura,Active,Supermarkets,Physical Store
Arpico Daily,Athurugiriya,Athurugiriya,Active,Supermarkets,Physical Store
Arpico Daily,Chilaw,Chilaw,Active,Supermarkets,Physical Store
Arpico Daily,Wennapuwa,Chilaw,Active,Supermarkets,Physical Store
Arpico Daily,Attidiya,Dehiwala,Active,Supermarkets,Physical Store
Arpico Daily,Weliweriya,Gampaha,Active,Supermarkets,Physical Store
Arpico Daily,Kaduwela,Kaduwela,Active,Supermarkets,Physical Store
Arpico Daily,Kandana,Kandana,Active,Supermarkets,Physical Store
Arpico Daily,Matthegoda,Kottawa,Active,Supermarkets,Physical Store
Arpico Daily,Kuliyapitiya,Kuliyapitiya,Active,Supermarkets,Physical Store
Arpico Daily,Meegoda,Meegoda,Active,Supermarkets,Physical Store
Arpico Daily,Mulleriyawa,Mulleriyawa,Active,Supermarkets,Physical Store
Arpico Daily,Wateraka,Padukka,Active,Supermarkets,Physical Store
Arpico Daily,Pelmadulla,Pelmadulla,Active,Supermarkets,Physical Store
Arpico Daily,Palanwatta,Piliyandala,Active,Supermarkets,Physical Store
Arpico Daily,Ragama,Ragama,Active,Supermarkets,Physical Store
Arpico Daily,Rathnapura,Rathnapura,Active,Supermarkets,Physical Store
Arpico Daily,Wattala 2 AD,Wattala,Active,Supermarkets,Physical Store
Arpico Daily,Gelioya,Kandy,Active,Supermarkets,Physical Store
Arpico Daily,Haloluwa,Kandy,Active,Supermarkets,Physical Store
Arpico Daily,Hettipola,Kandy,Active,Supermarkets,Physical Store
Arpico Daily,Kiribathkumbura,Kandy,Active,Supermarkets,Physical Store
