Question,Answer,Category
How can I send a voucher to someone?,You can gift a Thyaga voucher via SMS and Email instantly or by scheduling it. You can also get it delivered.,Buying & Gifting
How can I create a voucher?,You can easily create a voucher with just 4 steps! Check out How It Works !,Buying & Gifting
Can I buy a voucher for myself?,Yes definitely. It's important that you treat yourself every once in a while,Buying & Gifting
Do I have to choose a gifting option?,Selecting a gifting option is not a must. You can always print the voucher at home,Buying & Gifting
Can I gift my voucher to someone?,"Yes definitely, using our transfer feature.",Buying & Gifting
Can another person use my Thyaga voucher?,"No. The voucher is assigned to your mobile number. If someone tries to use your voucher, you will receive an OTP",Buying & Gifting
Is there a minimum or maximum voucher amount?,"You can select a voucher amount starting as low as Rs. 500, going up to Rs. 150,000, providing maximum flexibility to match your gifting needs.",Buying & Gifting
How do I redeem when the merchant does not have a physical store?,Check out our in app redemption feature.,Redeeming & Using Vouchers
Do I have to redeem the whole voucher value at once?,Not at all! You can always redeem multiple amounts from multiple merchants,Redeeming & Using Vouchers
What do I do when I don't have enough voucher value to redeem?,You can topup your voucher or pay with cash.,Redeeming & Using Vouchers
Do I have to choose a gifting option?,Selecting a gifting option is not a must. You can always print the voucher at home,Redeeming & Using Vouchers
Can I see my previous redemptions after transferring the voucher?,No of course not. They can only see redemptions and purchases carried out by them.,Redeeming & Using Vouchers
How can I check the available balance in my Thyaga Voucher?,You can visit ‘Check balance’ or ‘My Vouchers’ to view the voucher balance that is available to redeem,Redeeming & Using Vouchers
What should I do if my voucher is lost or deleted?,"Simply contact our customer support via Thyaga.lk or our hotline (+94) 750 100 500 , and we’ll gladly resend your voucher details after verification.",Redeeming & Using Vouchers
What is a Thyaga Multi-store gift voucher?,You can use one gift voucher to redeem over multiple partnered Thyaga merchants. How cool is that!,About Vouchers
Are Thyaga vouchers customizable for corporate gifting?,"Yes! Thyaga vouchers can be customized with your company's branding, personal messages, and special designs, making them perfect for employee rewards, client gifts, and corporate events.",About Vouchers
What is the validity period of the voucher?,The voucher is valid for 6 months.,About Vouchers
