Merchant,redeem instructions,type
Keells,"1 . You are about to switch your Thyaga voucher to Keells vouchers. After switching, you will get the Keells voucher codes via SMS.

2 . These Keells voucher codes can be presented to the cashier of your near by Keells store.

3 . Please redeem in multiples of LKR 500. (Eg. 500, 1500, 2000, 2500 etc.).
Click on the link ""https://thyaga.lk/redeem/VDAyNTI="" to redeem your Thyaga voucher to receive Keells vouch

Please note that the redemption is NOT available at Keells - Super K outlets",Online
DSI,"1 . Easy Redemption is a convenient, hassle free QR based redemption process for Thyaga at DSI. This process is available at all DSI outlets islandwide, except franchise outlets.


2 . Request the cashier for the Thyaga QR and scan it with the mobile phone camera/ QR Scanner

3 . Enter mobile phone number, and enter the OTP

4 . Select the redemption amount using the + and - signs. The minimum for redemption is LKR 500.

5 . Click Confirm, and show the e-voucher codes on the screen to the cashier.",Online
Domino's Pizza (Online),"1 . Go to Domino's Pizza, select your preferred items, and add in to the shopping cart.

2 . Go to the checkout page, and please click on the link ""https://thyaga.lk/redeem/VDA5MDE=""to convert Thyaga Gift Vouchers to Domino's Pizza Vouchers. You could only redeem in multiples of LKR 500

3 . Enter the Domino's Gift Card Codes given on the page in the Coupon code field on the Checkout Page.",Online
Thilakawardhana Textiles,"1 . Scan the QR placed at the merchant cashier's counter through phone camera/ QR scanner

2 . Perform the payment

3 . Inform the merchant that the payment has been made",Online
Arpico,"1 . Scan the Thyaga QR at the Cashier with the mobile phone camera/ QR Scanner

2 . Enter mobile phone number, and enter the OTP

3 . Select the redemption amount using the + and - signs. The minimum for redemption is LKR 250.

4 . Click Confirm, and show the e-voucher codes on the screen to the cashier.
",Online
Singer,"1 . Click on the link below, enter mobile phone number, and enter the OTP

2 . Select the redemption amount using the + and - signs. The minimum for redemption is LKR 1000.

3 . Click Confirm, and screenshot/ show these vouchers to the cashier at the Singer Outlet.

4 . Click on link ""https://thyaga.lk/redeem/VDA0MjU=""",Online
AMBERRY (Instagram),"1 . Contact the merchant and place the order for your favorite products

2 . Carry out the payment through Thyaga payment link ""https://thyaga.lk/redeem/VDAyMzY=""

3 . Inform the merchant that the payment has been made through Thyaga along with a screenshot of the successful redemption screen",Facebook/ Instagram
Aroma Perfume (Facebook/ Instagram),"1 . Contact the merchant and place the order for your favorite products

2 . Carry out the payment through Thyaga payment link ""https://thyaga.lk/redeem/VDA3MzU=""

3 . Inform the merchant that the payment has been made through Thyaga along with a screenshot of the successful redemption screen",Facebook/ Instagram
Ayvee (Instagram),"1 . Contact the merchant and place the order for your favorite products

2 . Carry out the payment through Thyaga payment link ""https://thyaga.lk/redeem/VDAyNDA=""

3 . Inform the merchant that the payment has been made through Thyaga along with a screenshot of the successful redemption screen",Facebook/ Instagram
Earth Unleashed (Facebook/ Instagram),"1 . Contact the merchant and place the order for your favorite products

2 . Carry out the payment through Thyaga payment link ""https://thyaga.lk/redeem/VDAyNDU=""

3 . Inform the merchant that the payment has been made through Thyaga along with a screenshot of the successful redemption screen",Facebook/ Instagram
Jump Book,"1 . Visit Jumpbooks.lk and add your favorite products to the cart

2 . Once you proceed to the check out page, click on the ""Have a Thyaga Voucher?"" option

3 . Proceed to complete the payment process",Online
Made in Earth (Facebook/ Instagram),"1 . Contact the merchant and place the order for your favorite products

2 . Carry out the payment through Thyaga payment link ""https://thyaga.lk/redeem/VDAxMjE=""

3 . Inform the merchant that the payment has been made through Thyaga along with a screenshot of the successful redemption screen",Facebook/ Instagram
MirrorMirror.lk,"1 . Place your order through Mirrormirror.lk using the payment method: Cash on Delivery/ Bank Transfer

2 . Carry out the payment through Thyaga payment link ""https://thyaga.lk/redeem/VDAyMjY=""

3 . Inform the merchant that the payment has been made through Thyaga along with a screenshot of the successful redemption screen",Online
Ninda (Facebook/ Instagram),"1 . Contact the merchant and place the order for your favorite products

2 . Carry out the payment through Thyaga payment link ""https://thyaga.lk/redeem/VDAyNDE=""

3 . Inform the merchant that the payment has been made through Thyaga along with a screenshot of the successful redemption screen",Facebook/ Instagram
Sea Adventures LK (Facebook/ Instagram),"1 . Contact the merchant and place the order for your favorite products

2 . Carry out the payment through Thyaga payment link ""https://thyaga.lk/redeem/VDA2OTQ=""

3 . Inform the merchant that the payment has been made through Thyaga along with a screenshot of the successful redemption screen",Facebook/ Instagram
THIRTEEN THIRTYONE (Facebook/ Instagram),"1 . Contact the merchant and place the order for your favorite products

2 . Carry out the payment through Thyaga payment link ""https://thyaga.lk/redeem/VDAxNjc=""
3 . Inform the merchant that the payment has been made through Thyaga along with a screenshot of the successful redemption screen",Facebook/ Instagram
