id,description,slug,published,title,category,image_front,cat_title,occasion,recipient,tone
1.0,"The gift that always gets it right! <br>
Thyaga's multi-store gift voucher gives your loved ones the freedom to choose what they want, when they want it. One voucher, endless possibilities for every occasion.",multi-store,available,Multi-Store Gift Card,General,https://thyaga0323.sirv.com/Images/voucher-products/multi-store-front.png,One voucher. Any occasion. All the freedom they'll love.,General,Anyone,General
2.0,"<p>Get ready to sprinkle some birthday magic!<br>
Birthdays are all about love, laughter, and making wishes come true. With a Thyaga Voucher you're not just giving a gift - you're giving them the power to pick their own special surprise!<br>
Add a dash of personal touch with a heartfelt message before you send it off. </p>
",birthday-frog,available,Birthday Gift Card,Birthday,https://thyaga0323.sirv.com/Images/voucher-products/birthday/05-front.png,"Birthdays made better with gifts they actually want, finally.",Birthday,"Friend, SIbling",Funny
3.0,"<p>More the merrier this Christmas, A Thyaga gift voucher is the perfect gift for your loved ones!</p>
Give your loved ones the gift of choice where they can use this Thyaga voucher to shop over 80 brands.",christmas,unavailable,Christmas Gift Card,,https://thyaga0323.sirv.com/Images/voucher-products/christmas/2024/front-01.png,,,,
4.0,"<p>Saying goodbye is never easy, but with Thyaga Voucher, you can make it memorable! </br>
Explore our farewell collection and give the gift of choice to your departing colleague or friend. 
From heartfelt messages to customise themes, our vouchers offer the perfect way to send them off with love and appreciation. Browse now and make their farewell truly special!</p>",farewell,available,Farewell Gift Card,Farewell,https://thyaga0323.sirv.com/Images/voucher-products/farewell/01-front.png,"Parting is sweet, especially with a thoughtful Thyaga voucher.",Farewell,"Co worker, Colleague",Funny
5.0,"<p>Ho Ho Ho! It's that time of the year! <br>
Have you picked a name out of a hat and now need to think of an amazing Secret Santa gift? We have got you covered!</p> 
Show some top secret love this holiday season with Thyaga multi-store gift vouchers!",secret-santa-2023,unavailable,Secret Santa Gift Card,,https://thyaga0323.sirv.com/Images/voucher-products/christmas/2023/4%20Front.png,,,,
6.0,"<p>Get ready to celebrate love in style! Weddings are all about magical moments, shared dreams, and endless joy. <br>
With a customised Thyaga Voucher, you're offering the newlyweds the freedom to curate their perfect start to forever! Add your personal touch with a heartfelt message before sending it their way. 
Let the wedding festivities begin and the love story unfold!
</p>",wedding-couple-cream,available,Wedding Gift Card,Weddings,https://thyaga0323.sirv.com/Images/voucher-products/wedding/01-front.png,Celebrate their forever with a gift that keeps giving.,Wedding,"Anyone, Married Couple",General
7.0,"<p>Thyaga multi-store gift voucher is the perfect gift for any occasion!</p>
Give your loved ones the gift of choice where they can use this Thyaga voucher to shop over 140 brands.",foodie,unavailable,Foodie Gift Card,,https://thyaga0323.sirv.com/Images/voucher-products/foodie/01-front.png,,,,
8.0,"<p>Thyaga multi-store gift voucher is the perfect gift for any occasion!</p>

Give your loved ones the gift of choice this New Year, where they can use this Thyaga voucher to shop at over 85 merchants!",fashionista,unavailable,Fashionista Gift Card,,https://thyaga0323.sirv.com/Images/voucher-products/fashionista/01-front.png,,,,
10.0,"<p>Moving up the academic ladder deserves special praise from loved ones, and we've got just the
gift for the occasion! <br>
Celebrate their hard work and commitment - by letting them shop for everything they've
secretly wanted for a while! From novelty books to collectibles and fashion, nothing screams
I'm Proud Of You"" more than a gift that shows how much you care about them.</p>""",graduation,available,Graduation Gift Card,Congratulations,https://thyaga0323.sirv.com/Images/voucher-products/graduation/03-front.png,"Whether it's a win or milestone, celebrate in style.",Congratulation,Anyone,Funny
11.0,"<p>`Tis the season to be jolly! Ring in the New Year with happiness and laughter - and a little
something for your loved ones for a wonderful year together! <br>
A New Year calls for a new closet, new homeware and new books, and Thyaga's got just the
Voucher to have all three (and more!) wrapped up in no time! <br>
Click quick! It's never too early to get a little festive!</p>",new-year,unavailable,2024 New Year Gift Card,,https://thyaga0323.sirv.com/Images/voucher-products/new-year/To%20Web-01.jpg,,,,
12.0,"<p>Planning on surprising your better half with a present? Treat them right with a gift card that's as
unique as them - and lets them choose from over 150 Merchants for a wide variety of items!
Whether it's those rare, customized shirts he's been eyeing, or a dinner out to a restaurant
that's special to you both, give them the gift of choice and they'll love you for it.
</p>
",him-n-her,unavailable,For Him and Her Gift Card,Valentines,https://venexpat.sirv.com/Images/valentines/front-01.png,,Valentines,,
16.0,"<p>Say I Love You With More Than Just Words</p>
<p>Surprise a loved one this Valentines Day with the most unique gift card and give them the freedom to shop across 85+ brands.</p>
Happy Valentine's Day!",i-wont-lego-of-you,unavailable,I won't Lego of you Gift Card,Valentines,https://thyaga0323.sirv.com/Images/voucher-products/valentines/01-front.png,,Valentines,,
17.0,"<p>Say I Love You With More Than Just Words</p>
<p>Surprise a loved one this Valentines Day with the most unique gift card and give them the freedom to shop across 85+ brands.</p>
Happy Valentine's Day!",i-love-you-more-everyday,unavailable,I love you more everyday Gift Card,Valentines,https://thyaga0323.sirv.com/Images/voucher-products/valentines/06-front.png,,Valentines,,
18.0,"<p>Say it your way with love, laughter and a touch of charm! These romantic vouchers are the sweetest way to turn feelings into unforgettable surprises!</p>
",you-complete-me,unavailable,Lovebird Gift Card,Valentines,https://thyaga0323.sirv.com/Images/voucher-products/valentines/03-front.png,,Valentines,,
19.0,"<p>Say I Love You With More Than Just Words</p>
<p>Surprise a loved one this Valentines Day with the most unique gift card and give them the freedom to shop across 85+ brands.</p>
Happy Valentine's Day!",you-tuk-tuk,unavailable,You tuk tuk my breath away Gift Card,Valentines,https://thyaga0323.sirv.com/Images/voucher-products/valentines/03-front.png,,Valentines,,
21.0,"<p>Say I Love You With More Than Just Words</p>
<p>Surprise a loved one this Valentines Day with the most unique gift card and give them the freedom to shop across 85+ brands.</p>
Happy Valentine's Day!",love-you-to-the-moon-n-back,unavailable,Love you to the moon & back Gift Card,Valentines,https://thyaga0323.sirv.com/Images/voucher-products/valentines/05-front.png,,Valentines,,
34.0,"<p>Stay close to your loved ones this Avurudu.
Surprise your loved ones this Avurudu with the most unique gift card and give them the freedom to shop across 85+ brands.</p>
",avurudu-01,unavailable,Sinhala & Tamil Avurudu Gift Card,,https://thyaga0323.sirv.com/Images/voucher-products/avurudu/Avurudu_03_front_02.png,,,,
35.0,"<p>Stay close to your loved ones this Avurudu.
Surprise your loved ones this Avurudu with the most unique gift card and give them the freedom to shop across 85+ brands.</p>
",avurudu-02,unavailable,Sinhala & Tamil Avurudu Gift Card,,https://thyaga0323.sirv.com/Images/voucher-products/avurudu/Avurudu_02_front_01.png,,,,
36.0,"<p>Stay close to your loved ones this Avurudu.
Surprise your loved ones this Avurudu with the most unique gift card and give them the freedom to shop across 85+ brands.</p>
",avurudu-03,unavailable,Sinhala & Tamil Avurudu Gift Card,,https://thyaga0323.sirv.com/Images/voucher-products/avurudu/Avurudu_01_front_03.png,,,,
39.0,"<p>Stay close to your loved ones this Avurudu. Surprise your loved ones this Avurudu with the most unique gift card and give them the freedom to shop across 85+ brands.</p>
",avurudu-04,unavailable,Sinhala & Tamil Avurudu Gift Card,,https://thyaga0323.sirv.com/Images/voucher-products/avurudu/Avurudu_03_front_02.png,,,,
59.0,"<p>Thyaga multi-store gift voucher is the perfect gift for any occasion!</p>
Give your loved ones the gift of choice where they can use this Thyaga voucher to shop at over 130 merchants!",mothers-day-queen-bee,available,"Happy Mother's Day, Queen Bee!",Mother's Day,https://thyaga0323.sirv.com/Images/voucher-products/mothers-day/md-1-front.png,,Mother's Day,Mother,General
60.0,"<p>Thyaga multi-store gift voucher is the perfect gift for any occasion!</p>
Give your loved ones the gift of choice where they can use this Thyaga voucher to shop at over 130 merchants!",mothers-day-blue,available,Mother's Day Gift Card,Mother's Day,https://thyaga0323.sirv.com/Images/voucher-products/mothers-day/md-2-front.png,,Mother's Day,Mother,General
68.0,"<p>Express your gratitude with Thyaga Voucher! Saying thank you has never been easier with the gift of choice. </br>
Whether it's for a kind gesture, a helping hand, or simply being there, our vouchers offer a world of possibilities to show your appreciation. 
Let them choose their own reward, from indulgent treats to unforgettable experiences. With Thyaga Voucher, you can say thank you in the most meaningful way possible. </p>

",thank-you-01,available,Thank You Gift Card,Thank you,https://thyaga0323.sirv.com/Images/voucher-products/thank-you/01-front.png,"A small card that says big, heartfelt thanks, stylishly.","Thank you, Thank, Grateful",Anyone,General
77.0,"<p>This Father's Day, show your appreciation for the superheroes in our lives-our dads!</p>
<p>Thyaga give dads the freedom to choose whatever they like, from fashion & dining to travel & tech gadgets. </p>
<p>With over 150 merchants and 20 categories, it's the perfect way to say, ""Thanks for being awesome, Dad!"" </p>
<p>Give him the gift of choice and celebrate the hero in your life with a Thyaga voucher.</p>
",fathers-day-hand,unavailable,Father's Day Gift Card,,https://thyaga0323.sirv.com/Images/voucher-products/fathers-day/01-front.png,,,,
78.0,"<p>This Father's Day, show your appreciation for the superheroes in our lives-our dads!</p>
<p>Thyaga give dads the freedom to choose whatever they like, from fashion & dining to travel & tech gadgets. </p>
<p>With over 150 merchants and 20 categories, it's the perfect way to say, ""Thanks for being awesome, Dad!"" </p>
<p>Give him the gift of choice and celebrate the hero in your life with a Thyaga voucher.</p>
",fathers-day-02,unavailable,Father's Day Gift Card,,https://thyaga0323.sirv.com/Images/voucher-products/fathers-day/02-front.png,,,,
84.0,"<p> Get ready to celebrate in style with Thyaga Voucher's ""Congratulations"" gift voucher! <br>
Whether they aced that exam, nailed that presentation, or reached a major milestone, this card is the perfect way to say congratulations! <br> 
Let them choose their own reward from our fantastic selection, ensuring their success is celebrated with a touch of fun and flair. 
Here's to cheering on their achievements and spreading the joy together!
</p>",congrats-01,available,Congratulations Gift Card,Congratulations,https://thyaga0323.sirv.com/Images/voucher-products/congratulations/front-02.png,"Whether it's a win or milestone, celebrate in style.",Congratulation,Anyone,General
87.0,"<p>Get ready to sprinkle some birthday magic!<br>
Birthdays are all about love, laughter, and making wishes come true. With a Thyaga Voucher you're not just giving a gift - you're giving them the power to pick their own special surprise!<br>
Add a dash of personal touch with a heartfelt message before you send it off. </p>
",hbd-dad-01,available,Family Birthday Gift Card,Birthday,https://thyaga0323.sirv.com/Images/voucher-products/birthday/hbd-dad-01-front.png,"Birthdays made better with gifts they actually want, finally.",Birthday,"Dad, Father",General
88.0,"<p>Get ready to sprinkle some birthday magic!<br>
Birthdays are all about love, laughter, and making wishes come true. With a Thyaga Voucher you're not just giving a gift - you're giving them the power to pick their own special surprise!<br>
Add a dash of personal touch with a heartfelt message before you send it off. </p>
",hbd-mom-01,unavailable,Happy Birthday Mom Gift Card,Birthday,https://thyaga0323.sirv.com/Images/voucher-products/birthday/hbd-dad-01-front.png,"Birthdays made better with gifts they actually want, finally.",Birthday,,
89.0,"<p>Ease those first-day nerves with a thoughtful welcome gift! 
Show your support by surprising them with a Thyaga Voucher, offering them thousands of options to choose from. <br>
After all, a warm welcome sets the tone for a successful start. Let's ensure their transition is smooth and their workspace equipped for success!  </p>",welcome-to-team,available,Welcome To The Team Gift Card,Other,https://thyaga0323.sirv.com/Images/voucher-products/welcome-to-the-team/01-front.png,,,,
